date,close,high,low,open,volume,symbol,Ticker
2021-11-22,385.6233215332031,400.6499938964844,377.4766540527344,387.4433288574219,99217500,TOP10,TSLA
2021-11-22,190.1494903564453,196.0995565269241,189.19670537639396,194.4467620168034,21185800,TOP10,V
2021-11-23,158.24684143066406,158.62919797716998,155.9428885480248,157.96251620186436,96041900,TOP10,AAPL
2021-11-23,179.0019989013672,181.0525054931641,176.385498046875,179.2519989013672,73804000,TOP10,AMZN
2021-11-23,288.55999755859375,288.7300109863281,285.04998779296875,285.1499938964844,4490100,TOP10,BRK-B
2021-11-23,144.91290283203125,145.78567448764977,143.25584859534766,145.2816932603295,27218000,TOP10,GOOGL
2021-11-23,152.24398803710938,152.49730471832464,149.61128916656108,149.7289054130981,12354400,TOP10,JPM
2021-11-23,335.4099426269531,339.53729389373456,331.68040286460746,337.08076915622667,17225000,TOP10,META
2021-11-23,327.3448791503906,329.0607250462627,323.3509815757989,326.73415634565987,30427600,TOP10,MSFT
2021-11-23,31.684295654296875,32.297102543568556,30.819977769764165,31.473705332919113,532163000,TOP10,NVDA
2021-11-23,369.6766662597656,393.5,354.23333740234375,389.1700134277344,108515100,TOP10,TSLA
2021-11-23,192.97869873046875,193.39675215754045,188.98281708596755,191.50089915141453,14742700,TOP10,V
2021-11-24,158.7664337158203,158.9625112862029,156.5115042570214,157.5997519763684,69463600,TOP10,AAPL
2021-11-24,179.02049255371094,180.6820068359375,176.84249877929688,178.1334991455078,46560000,TOP10,AMZN
2021-11-24,287.2799987792969,288.32000732421875,286.0899963378906,287.44000244140625,4924100,TOP10,BRK-B
2021-11-24,145.24888610839844,145.3776154159261,143.51230696993352,144.60624064702924,18040000,TOP10,GOOGL
2021-11-24,151.04981994628906,153.2934884480179,150.57936864916414,152.40687984571596,9629800,TOP10,JPM
2021-11-24,339.1990966796875,339.91516941005455,330.9941105551372,334.1667076180487,13566200,TOP10,META
2021-11-24,327.56787109375,327.8102195501021,323.69029579211673,325.98775442496617,21661300,TOP10,MSFT
2021-11-24,32.6104850769043,32.791132988882204,30.86787882205734,31.39984367210979,435162000,TOP10,NVDA
2021-11-24,372.0,377.5899963378906,354.0,360.1300048828125,67680600,TOP10,TSLA
2021-11-24,197.6065216064453,198.28708230547244,192.1522893465604,192.6675720783317,12026800,TOP10,V
2021-11-26,153.7369842529297,157.30565039386215,153.2958059172185,156.44290597018036,76959800,TOP10,AAPL
2021-11-26,175.22799682617188,181.6750030517578,175.20750427246094,180.10499572753906,59826000,TOP10,AMZN
2021-11-26,283.0899963378906,284.7099914550781,279.760009765625,280.2799987792969,4440700,TOP10,BRK-B
2021-11-26,141.3353729248047,143.69571379429408,140.99690294117423,143.48796011444705,30470000,TOP10,GOOGL
2021-11-26,146.4990997314453,147.15048943940226,143.68547609907648,146.68909414823443,13619300,TOP10,JPM
2021-11-26,331.3024597167969,335.9072028383767,330.0891149425384,333.96783008940685,14750700,TOP10,META
2021-11-26,319.5897521972656,327.58725133037314,318.07750018241677,324.11683442028453,24217200,TOP10,MSFT
2021-11-26,31.4417667388916,32.64641947671285,31.28906425235593,32.5366326785244,283069000,TOP10,NVDA
2021-11-26,360.6400146484375,369.59332275390625,360.3333435058594,366.489990234375,35042700,TOP10,TSLA
2021-11-26,192.16197204589844,193.6592201516318,187.2035894078906,187.9522134607573,10987600,TOP10,V
2021-11-29,157.0997772216797,158.03115705077292,155.67818094806347,156.24681646555752,88748200,TOP10,AAPL
2021-11-29,178.07850646972656,179.8000030517578,176.5749969482422,177.3820037841797,65312000,TOP10,AMZN
2021-11-29,282.1199951171875,284.9800109863281,281.4200134277344,284.0,5390900,TOP10,BRK-B
2021-11-29,144.6629180908203,145.42534389971033,143.0356684975535,143.1415399045891,32596000,TOP10,GOOGL
2021-11-29,145.86582946777344,149.0775403992359,144.59020375642743,147.7476207003056,12104400,TOP10,JPM
2021-11-29,336.18560791015625,338.81121786395255,333.48044781430485,335.0518438672462,16650900,TOP10,META
2021-11-29,326.32708740234375,328.65362694624383,324.4949186520059,324.6888092738123,28563500,TOP10,MSFT
2021-11-29,33.31112289428711,33.34705221663582,31.973727445585286,32.30308781622663,454964000,TOP10,NVDA
2021-11-29,378.9966735839844,380.8900146484375,366.7300109863281,366.9966735839844,58393500,TOP10,TSLA
2021-11-29,190.8397674560547,195.6620536664122,189.93559713636236,195.41899521465265,14633500,TOP10,V
2021-11-30,162.0605926513672,162.27628247322406,156.78602057829323,156.85465595786593,174048100,TOP10,AAPL
2021-11-30,175.35350036621094,179.2884979248047,174.60049438476562,178.1750030517578,80022000,TOP10,AMZN
2021-11-30,276.69000244140625,280.20001220703125,275.8900146484375,279.94000244140625,9925300,TOP10,BRK-B
2021-11-30,141.05157470703125,145.12961068972766,140.75733411420325,144.14402073759763,42068000,TOP10,GOOGL
2021-11-30,143.69454956054688,145.3230241859207,143.20600027057122,143.99310439225934,18922600,TOP10,JPM
2021-11-30,322.6896667480469,333.97774473481724,321.6652878674593,333.1721667001351,25390000,TOP10,META
2021-11-30,320.471923828125,327.4418682918144,318.9208876812045,325.057167596262,42885600,TOP10,MSFT
2021-11-30,32.61248016357422,33.28816609984741,31.802060231201335,33.104521856608265,622066000,TOP10,NVDA
2021-11-30,381.586669921875,389.3333435058594,372.6666564941406,381.4566650390625,81276000,TOP10,TSLA
2021-11-30,188.3897247314453,192.1717131613517,187.21331544867465,189.84807525457285,16023000,TOP10,V
2021-12-01,161.54100036621094,166.96262755361067,161.30569826962912,164.1978840178816,152052500,TOP10,AAPL
2021-12-01,172.18600463867188,177.99400329589844,172.0800018310547,177.25,74916000,TOP10,AMZN
2021-12-01,275.0,281.7200012207031,274.7900085449219,279.5400085449219,5165100,TOP10,BRK-B
2021-12-01,140.21060180664062,145.08039785236195,140.07193757943773,143.141525523015,34020000,TOP10,GOOGL
2021-12-01,142.8441162109375,147.71144185326227,142.76269593480916,145.65775412542513,12253400,TOP10,JPM
2021-12-01,308.90533447265625,328.69675156795597,308.59702829866603,328.48790585194627,30329600,TOP10,META
2021-12-01,319.9775085449219,328.89594378590317,319.30865400622315,324.8729652307251,33337600,TOP10,MSFT
2021-12-01,31.37774085998535,33.22836580872918,31.322840737435783,33.15849361780224,484368000,TOP10,NVDA
2021-12-01,365.0,390.9466552734375,363.586669921875,386.8999938964844,68450400,TOP10,TSLA
2021-12-01,184.87998962402344,191.34533869272892,184.8216579675412,190.5869974882378,13204900,TOP10,V
2021-12-02,160.55078125,160.98216094033538,154.70758806208025,155.62916922602187,136739200,TOP10,AAPL
2021-12-02,171.8679962158203,174.63499450683594,171.1875,173.0,64726000,TOP10,AMZN
2021-12-02,279.0899963378906,280.3699951171875,275.2900085449219,276.67999267578125,4924800,TOP10,BRK-B
2021-12-02,142.11370849609375,143.00685061279722,139.37860106605632,140.4079350696201,29194000,TOP10,GOOGL
2021-12-02,145.84771728515625,147.6933121717541,143.66737166063564,144.59921810012855,12969900,TOP10,JPM
2021-12-02,308.6965026855469,312.88352410113805,305.52390514456016,309.7009714085829,24396200,TOP10,META
2021-12-02,319.4055480957031,323.2831232277246,317.76727023574,320.19075469325344,30766000,TOP10,MSFT
2021-12-02,32.06747817993164,32.41883815872118,30.968483947927016,31.157140743690952,472890000,TOP10,NVDA
2021-12-02,361.5333251953125,371.0,352.2166748046875,366.3533325195313,73114800,TOP10,TSLA
2021-12-02,192.78424072265625,193.90231853459895,186.52306728324336,186.66889642453063,13976300,TOP10,V
2021-12-03,158.6684112548828,161.72727865884264,156.58996176944189,160.80569748404918,118023100,TOP10,AAPL
2021-12-03,169.489501953125,173.49349975585938,166.92999267578125,172.75,80712000,TOP10,AMZN
2021-12-03,277.42999267578125,279.9700012207031,275.2699890136719,278.7099914550781,5925000,TOP10,BRK-B
2021-12-03,141.1549530029297,143.5391528815725,139.46459005362397,142.82444502676393,41230000,TOP10,GOOGL
2021-12-03,143.20599365234375,146.40866256835625,142.21082473068742,146.11010775044144,12681800,TOP10,JPM
2021-12-03,305.1658630371094,312.0381653976371,297.865914060852,312.01828544495413,27471000,TOP10,META
2021-12-03,313.1239318847656,322.5173611058219,308.2963396315105,321.82907013934687,41779300,TOP10,MSFT
2021-12-03,30.6370906829834,32.07047570001072,30.075114609302087,31.941709070833586,544325000,TOP10,NVDA
2021-12-03,338.3233337402344,363.5266723632813,333.4033203125,361.5966796875,92322000,TOP10,TSLA
2021-12-03,190.86895751953125,192.9592543735733,188.65225068200215,192.76481056961077,10660500,TOP10,V
2021-12-06,162.0802001953125,164.59002900255814,161.06057289251913,161.07037153513377,107497000,TOP10,AAPL
2021-12-06,171.36849975585938,173.69549560546875,166.9344940185547,169.64999389648438,68860000,TOP10,AMZN
2021-12-06,281.3800048828125,283.1700134277344,278.7300109863281,278.7300109863281,5524200,TOP10,BRK-B
2021-12-06,142.30157470703125,142.99491107333782,139.3144842772671,142.18775536173658,30618000,TOP10,GOOGL
2021-12-06,144.89779663085938,147.11432479916266,144.2645048405907,145.6667888744979,11186500,TOP10,JPM
2021-12-06,316.13568115234375,318.35352509159367,304.6685906003245,306.44883277262755,21758300,TOP10,META
2021-12-06,316.20654296875,317.42798853456475,309.45957089532595,314.0351104815673,30032600,TOP10,MSFT
2021-12-06,29.982288360595703,30.18591534356921,27.986928984047356,29.825572842929404,658938000,TOP10,NVDA
2021-12-06,336.336669921875,340.5466613769531,316.8333435058594,333.836669921875,81663000,TOP10,TSLA
2021-12-06,197.0523376464844,198.54958599234283,192.2495151802553,193.25091479821435,10722100,TOP10,V
2021-12-07,167.82533264160156,168.2175027106271,165.04099247043354,165.7664958783119,120405400,TOP10,AAPL
2021-12-07,176.1645050048828,177.49949645996094,173.33450317382812,174.60000610351562,66410000,TOP10,AMZN
2021-12-07,284.9700012207031,285.4100036621094,282.1199951171875,282.4200134277344,5766000,TOP10,BRK-B
2021-12-07,146.39154052734375,146.6514866682628,144.36170668976118,144.7285101397463,32240000,TOP10,GOOGL
2021-12-07,147.07814025878906,147.8199923998783,145.80250079862995,146.45389057382928,9851600,TOP10,JPM
2021-12-07,321.0487060546875,324.75836563706474,319.24858406793527,319.81548136128475,18794000,TOP10,META
2021-12-07,324.66943359375,325.5224754165233,319.99694767134787,321.48982263242334,31021900,TOP10,MSFT
2021-12-07,32.36793518066406,32.38989827762411,30.595170939341617,30.90061524712522,593053000,TOP10,NVDA
2021-12-07,350.5833435058594,352.5566711425781,342.2699890136719,348.0666809082031,56084700,TOP10,TSLA
2021-12-07,201.6121368408203,202.16631727847584,200.17323483874517,200.2801811599535,11897200,TOP10,V
2021-12-08,171.64889526367188,172.5116543702611,167.35472693192983,168.75671048013734,116998900,TOP10,AAPL
2021-12-08,176.1580047607422,177.17999267578125,174.75050354003906,176.15049743652344,45254000,TOP10,AMZN
2021-12-08,283.7200012207031,285.9700012207031,282.2799987792969,284.9700012207031,3255700,TOP10,BRK-B
2021-12-08,147.3030548095703,147.50833610285437,145.53318241499792,146.71657583172777,24270000,TOP10,GOOGL
2021-12-08,145.3953857421875,147.71143214241877,144.90683650808296,147.15956063261947,11705700,TOP10,JPM
2021-12-08,328.7564392089844,330.93449284467295,321.3073148825398,323.2267773839781,19937700,TOP10,META
2021-12-08,324.71783447265625,325.2316119908199,320.675449408199,325.04742480661497,24761000,TOP10,MSFT
